Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    AddToPlaylist    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    GetWeather    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    RateBook    GetWeather
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
RateBook    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    RateBook
GetWeather    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
AddToPlaylist    SearchCreativeWork    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    AddToPlaylist    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
