Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
BookRestaurant    AddToPlaylist    GetWeather
SearchCreativeWork    AddToPlaylist    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
