Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
BookRestaurant    SearchScreeningEvent    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
BookRestaurant    SearchCreativeWork    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    SearchCreativeWork    GetWeather
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
BookRestaurant    SearchCreativeWork    GetWeather
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
RateBook    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    RateBook
GetWeather    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    GetWeather
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
AddToPlaylist    SearchCreativeWork    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    RateBook    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
RateBook    RateBook    AddToPlaylist
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    RateBook    BookRestaurant
RateBook    SearchCreativeWork    AddToPlaylist
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    SearchCreativeWork    GetWeather
AddToPlaylist    SearchScreeningEvent    PlayMusic
BookRestaurant    SearchCreativeWork    GetWeather
SearchCreativeWork    RateBook    PlayMusic
BookRestaurant    SearchCreativeWork    GetWeather
AddToPlaylist    PlayMusic    PlayMusic
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    GetWeather
PlayMusic    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
