Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
AddToPlaylist    GetWeather    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    GetWeather    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    SearchScreeningEvent    GetWeather
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    GetWeather    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    SearchScreeningEvent    GetWeather
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    GetWeather    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    BookRestaurant    AddToPlaylist
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
RateBook    SearchScreeningEvent    SearchCreativeWork
AddToPlaylist    AddToPlaylist    RateBook
GetWeather    GetWeather    SearchScreeningEvent
SearchScreeningEvent    GetWeather    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    GetWeather
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
AddToPlaylist    GetWeather    PlayMusic
PlayMusic    SearchScreeningEvent    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    BookRestaurant    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
