Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    PlayMusic    PlayMusic
BookRestaurant    SearchScreeningEvent    GetWeather
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
BookRestaurant    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    GetWeather
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    BookRestaurant
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    AddToPlaylist    AddToPlaylist
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    PlayMusic    AddToPlaylist
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
