Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
AddToPlaylist    SearchScreeningEvent    PlayMusic
BookRestaurant    SearchScreeningEvent    GetWeather
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchCreativeWork    SearchScreeningEvent    PlayMusic
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
BookRestaurant    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
BookRestaurant    SearchCreativeWork    SearchCreativeWork
BookRestaurant    SearchScreeningEvent    GetWeather
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    BookRestaurant
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    PlayMusic
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    AddToPlaylist
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
