Earlier Prediction      ActiveLearner prediction     Correct Value
atis_flight_time    atis_flight    atis_day_name
atis_flight    atis_flight    atis_day_name
atis_airport    atis_flight    atis_flight
atis_airfare    atis_flight    atis_ground_fare
atis_quantity    atis_flight    atis_aircraft
atis_airfare    atis_flight    atis_airfare#atis_flight
atis_flight    atis_flight    atis_flight#atis_airfare
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_flight#atis_airline
atis_flight_no    atis_flight    atis_flight_no#atis_airline
atis_abbreviation    atis_flight    atis_city
atis_abbreviation    atis_flight    atis_city
atis_flight#atis_airfare    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_airline    atis_flight    atis_abbreviation
atis_abbreviation    atis_flight    atis_airline
atis_city    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight_no
atis_abbreviation    atis_flight    atis_restriction
atis_abbreviation    atis_flight    atis_restriction
atis_flight    atis_flight    atis_flight_time
atis_ground_fare    atis_flight    atis_airfare
atis_abbreviation    atis_flight    atis_city
atis_abbreviation    atis_flight    atis_flight
atis_flight#atis_airfare    atis_flight    atis_airfare
atis_flight    atis_flight    atis_aircraft
atis_ground_fare    atis_flight    atis_airfare
atis_flight_no    atis_flight    atis_airline#atis_flight_no
atis_abbreviation    atis_flight    atis_airline
atis_airline    atis_flight    atis_flight
atis_ground_fare    atis_flight    atis_ground_service
atis_quantity    atis_flight    atis_capacity
atis_ground_service    atis_flight    atis_ground_service#atis_ground_fare
atis_abbreviation    atis_flight    atis_flight
atis_flight#atis_airfare    atis_flight    atis_flight
atis_ground_fare    atis_flight    atis_airfare
atis_distance    atis_flight    atis_ground_service
atis_airport    atis_flight    atis_ground_service
atis_aircraft    atis_flight    atis_flight
